,电影名称,上映日期,结束放映日期,票房收入
0,恶棍天使,2015.12.24,2016.2.13,64959.0
1,失孤,2015.3.20,2015.5.3,21617.9
2,将错就错,2015.3.5,2015.3.29,3937.4
3,少年班,2015.6.19,2015.7.19,5068.7
4,既然青春留不住,2015.10.23,2015.11.22,5020.3
5,少年班,2015.6.19,2015.7.19,5068.7
6,一路惊喜,2015.2.6,2015.3.8,6974.6
7,失孤,2015.3.20,2015.5.3,21617.9
8,闯入者,2015.4.30,2015.5.24,1003.6
9,分手再说我爱你,2015.12.24,2016.1.17,1273.2
10,失孤,2015.3.20,2015.5.3,21617.9
11,坏蛋必须死,2015.11.27,2015.12.20,4705.4
12,紫霞,2015.12.11,2015.12.27,49.1
13,少年班,2015.6.19,2015.7.19,5068.7
14,分手再说我爱你,2015.12.24,2016.1.17,1273.2
15,爱情魔发师,2015.7.17,2015.8.2,20.3
16,将错就错,2015.3.5,2015.3.29,3937.4
17,失孤,2015.3.20,2015.5.3,21617.9
18,一念天堂,2015.12.31,2016.2.13,8279.5
19,一路惊喜,2015.2.6,2015.3.8,6974.6
20,最美的时候遇见你,2015.12.11,2015.12.27,156.2
21,最美的时候遇见你,2015.12.11,2015.12.27,156.2
22,破风,2015.8.7,2015.9.13,14529.1
23,怦然星动,2015.12.3,2016.1.10,15973.9
24,百团大战,2015.8.28,2015.10.11,41367.3
25,紫霞,2015.12.11,2015.12.27,49.1
26,怦然星动,2015.12.3,2016.1.10,15973.9
27,前任2：备胎反击战,2015.11.6,2015.12.20,25200.2
28,闯入者,2015.4.30,2015.5.24,1003.6
29,破风,2015.8.7,2015.9.13,14529.1
30,恶棍天使,2015.12.24,2016.2.13,64959.0
31,闯入者,2015.4.30,2015.5.24,1003.6
32,前任2：备胎反击战,2015.11.6,2015.12.20,25200.2
33,分手再说我爱你,2015.12.24,2016.1.17,1273.2
34,爱情魔发师,2015.7.17,2015.8.2,20.3
35,冲上云霄,2015.2.19,2015.3.29,15631.3
36,坏蛋必须死,2015.11.27,2015.12.20,4705.4
37,将错就错,2015.3.5,2015.3.29,3937.4
38,一念天堂,2015.12.31,2016.2.13,8279.5
39,冲上云霄,2015.2.19,2015.3.29,15631.3
40,万物生长,2015.4.17,2015.5.24,14831.8
41,既然青春留不住,2015.10.23,2015.11.22,5020.3
42,紫霞,2015.12.11,2015.12.27,49.1
43,最美的时候遇见你,2015.12.11,2015.12.27,156.2
44,少年班,2015.6.19,2015.7.19,5068.7
45,探灵档案,2015.3.7,2015.3.22,334.1
46,坏蛋必须死,2015.11.27,2015.12.20,4705.4
47,探灵档案,2015.3.7,2015.3.22,334.1
48,浪漫天降,2015.10.23,2015.11.8,785.2
49,爱情魔发师,2015.7.17,2015.8.2,20.3
50,浪漫天降,2015.10.23,2015.11.8,785.2
51,万物生长,2015.4.17,2015.5.24,14831.8
52,探灵档案,2015.3.7,2015.3.22,334.1
53,分手再说我爱你,2015.12.24,2016.1.17,1273.2
54,探灵档案,2015.3.7,2015.3.22,334.1
55,既然青春留不住,2015.10.23,2015.11.22,5020.3
56,探灵档案,2015.3.7,2015.3.22,334.1
57,失孤,2015.3.20,2015.5.3,21617.9
58,爱情魔发师,2015.7.17,2015.8.2,20.3
59,一路惊喜,2015.2.6,2015.3.8,6974.6
60,前任2：备胎反击战,2015.11.6,2015.12.20,25200.2
61,百团大战,2015.8.28,2015.10.11,41367.3
62,既然青春留不住,2015.10.23,2015.11.22,5020.3
63,分手再说我爱你,2015.12.24,2016.1.17,1273.2
64,爱情魔发师,2015.7.17,2015.8.2,20.3
65,既然青春留不住,2015.10.23,2015.11.22,5020.3
66,怦然星动,2015.12.3,2016.1.10,15973.9
67,怦然星动,2015.12.3,2016.1.10,15973.9
68,闯入者,2015.4.30,2015.5.24,1003.6
69,百团大战,2015.8.28,2015.10.11,41367.3
70,万物生长,2015.4.17,2015.5.24,14831.8
71,一路惊喜,2015.2.6,2015.3.8,6974.6
72,最美的时候遇见你,2015.12.11,2015.12.27,156.2
73,爱之初体验,2015.8.7,2015.8.23,321.7
74,少年班,2015.6.19,2015.7.19,5068.7
75,爱之初体验,2015.8.7,2015.8.23,321.7
76,紫霞,2015.12.11,2015.12.27,49.1
77,一念天堂,2015.12.31,2016.2.13,8279.5
78,一路惊喜,2015.2.6,2015.3.8,6974.6
79,探灵档案,2015.3.7,2015.3.22,334.1
80,爱之初体验,2015.8.7,2015.8.23,321.7
81,坏蛋必须死,2015.11.27,2015.12.20,4705.4
82,爱之初体验,2015.8.7,2015.8.23,321.7
83,分手再说我爱你,2015.12.24,2016.1.17,1273.2
84,前任2：备胎反击战,2015.11.6,2015.12.20,25200.2
85,探灵档案,2015.3.7,2015.3.22,334.1
86,一念天堂,2015.12.31,2016.2.13,8279.5
87,百团大战,2015.8.28,2015.10.11,41367.3
88,恶棍天使,2015.12.24,2016.2.13,64959.0
89,破风,2015.8.7,2015.9.13,14529.1
90,破风,2015.8.7,2015.9.13,14529.1
91,恶棍天使,2015.12.24,2016.2.13,64959.0
92,一路惊喜,2015.2.6,2015.3.8,6974.6
93,分手再说我爱你,2015.12.24,2016.1.17,1273.2
94,少年班,2015.6.19,2015.7.19,5068.7
95,一念天堂,2015.12.31,2016.2.13,8279.5
96,爱之初体验,2015.8.7,2015.8.23,321.7
97,爱之初体验,2015.8.7,2015.8.23,321.7
98,将错就错,2015.3.5,2015.3.29,3937.4
99,闯入者,2015.4.30,2015.5.24,1003.6
100,紫霞,2015.12.11,2015.12.27,49.1
101,百团大战,2015.8.28,2015.10.11,41367.3
102,坏蛋必须死,2015.11.27,2015.12.20,4705.4
103,前任2：备胎反击战,2015.11.6,2015.12.20,25200.2
104,失孤,2015.3.20,2015.5.3,21617.9
105,坏蛋必须死,2015.11.27,2015.12.20,4705.4
106,破风,2015.8.7,2015.9.13,14529.1
107,怦然星动,2015.12.3,2016.1.10,15973.9
108,闯入者,2015.4.30,2015.5.24,1003.6
109,少年班,2015.6.19,2015.7.19,5068.7
110,少年班,2015.6.19,2015.7.19,5068.7
111,百团大战,2015.8.28,2015.10.11,41367.3
112,闯入者,2015.4.30,2015.5.24,1003.6
113,闯入者,2015.4.30,2015.5.24,1003.6
114,失孤,2015.3.20,2015.5.3,21617.9
115,恶棍天使,2015.12.24,2016.2.13,64959.0
116,百团大战,2015.8.28,2015.10.11,41367.3
117,少年班,2015.6.19,2015.7.19,5068.7
118,破风,2015.8.7,2015.9.13,14529.1
119,破风,2015.8.7,2015.9.13,14529.1
120,怦然星动,2015.12.3,2016.1.10,15973.9
121,爱情魔发师,2015.7.17,2015.8.2,20.3
122,恶棍天使,2015.12.24,2016.2.13,64959.0
123,爱之初体验,2015.8.7,2015.8.23,321.7
124,恶棍天使,2015.12.24,2016.2.13,64959.0
125,浪漫天降,2015.10.23,2015.11.8,785.2
126,恶棍天使,2015.12.24,2016.2.13,64959.0
127,前任2：备胎反击战,2015.11.6,2015.12.20,25200.2
128,紫霞,2015.12.11,2015.12.27,49.1
129,浪漫天降,2015.10.23,2015.11.8,785.2
130,前任2：备胎反击战,2015.11.6,2015.12.20,25200.2
131,爱情魔发师,2015.7.17,2015.8.2,20.3
132,一路惊喜,2015.2.6,2015.3.8,6974.6
133,一念天堂,2015.12.31,2016.2.13,8279.5
134,最美的时候遇见你,2015.12.11,2015.12.27,156.2
135,冲上云霄,2015.2.19,2015.3.29,15631.3
136,浪漫天降,2015.10.23,2015.11.8,785.2
137,怦然星动,2015.12.3,2016.1.10,15973.9
138,爱情魔发师,2015.7.17,2015.8.2,20.3
139,百团大战,2015.8.28,2015.10.11,41367.3
140,失孤,2015.3.20,2015.5.3,21617.9
141,前任2：备胎反击战,2015.11.6,2015.12.20,25200.2
142,冲上云霄,2015.2.19,2015.3.29,15631.3
143,紫霞,2015.12.11,2015.12.27,49.1
144,一念天堂,2015.12.31,2016.2.13,8279.5
145,万物生长,2015.4.17,2015.5.24,14831.8
146,冲上云霄,2015.2.19,2015.3.29,15631.3
147,怦然星动,2015.12.3,2016.1.10,15973.9
148,百团大战,2015.8.28,2015.10.11,41367.3
149,一路惊喜,2015.2.6,2015.3.8,6974.6
150,坏蛋必须死,2015.11.27,2015.12.20,4705.4
151,探灵档案,2015.3.7,2015.3.22,334.1
152,一路惊喜,2015.2.6,2015.3.8,6974.6
153,浪漫天降,2015.10.23,2015.11.8,785.2
154,最美的时候遇见你,2015.12.11,2015.12.27,156.2
155,分手再说我爱你,2015.12.24,2016.1.17,1273.2
156,将错就错,2015.3.5,2015.3.29,3937.4
157,紫霞,2015.12.11,2015.12.27,49.1
158,怦然星动,2015.12.3,2016.1.10,15973.9
159,将错就错,2015.3.5,2015.3.29,3937.4
160,爱之初体验,2015.8.7,2015.8.23,321.7
161,冲上云霄,2015.2.19,2015.3.29,15631.3
162,闯入者,2015.4.30,2015.5.24,1003.6
163,前任2：备胎反击战,2015.11.6,2015.12.20,25200.2
164,失孤,2015.3.20,2015.5.3,21617.9
165,百团大战,2015.8.28,2015.10.11,41367.3
166,既然青春留不住,2015.10.23,2015.11.22,5020.3
167,分手再说我爱你,2015.12.24,2016.1.17,1273.2
168,浪漫天降,2015.10.23,2015.11.8,785.2
169,坏蛋必须死,2015.11.27,2015.12.20,4705.4
170,浪漫天降,2015.10.23,2015.11.8,785.2
171,紫霞,2015.12.11,2015.12.27,49.1
172,失孤,2015.3.20,2015.5.3,21617.9
173,一路惊喜,2015.2.6,2015.3.8,6974.6
174,百团大战,2015.8.28,2015.10.11,41367.3
175,万物生长,2015.4.17,2015.5.24,14831.8
176,冲上云霄,2015.2.19,2015.3.29,15631.3
177,一路惊喜,2015.2.6,2015.3.8,6974.6
178,既然青春留不住,2015.10.23,2015.11.22,5020.3
179,一路惊喜,2015.2.6,2015.3.8,6974.6
180,万物生长,2015.4.17,2015.5.24,14831.8
181,怦然星动,2015.12.3,2016.1.10,15973.9
182,破风,2015.8.7,2015.9.13,14529.1
183,闯入者,2015.4.30,2015.5.24,1003.6
184,将错就错,2015.3.5,2015.3.29,3937.4
185,百团大战,2015.8.28,2015.10.11,41367.3
186,少年班,2015.6.19,2015.7.19,5068.7
187,万物生长,2015.4.17,2015.5.24,14831.8
188,冲上云霄,2015.2.19,2015.3.29,15631.3
189,怦然星动,2015.12.3,2016.1.10,15973.9
190,最美的时候遇见你,2015.12.11,2015.12.27,156.2
191,恶棍天使,2015.12.24,2016.2.13,64959.0
192,坏蛋必须死,2015.11.27,2015.12.20,4705.4
193,冲上云霄,2015.2.19,2015.3.29,15631.3
194,恶棍天使,2015.12.24,2016.2.13,64959.0
195,爱情魔发师,2015.7.17,2015.8.2,20.3
196,一念天堂,2015.12.31,2016.2.13,8279.5
197,一念天堂,2015.12.31,2016.2.13,8279.5
198,冲上云霄,2015.2.19,2015.3.29,15631.3
199,最美的时候遇见你,2015.12.11,2015.12.27,156.2
200,少年班,2015.6.19,2015.7.19,5068.7
201,闯入者,2015.4.30,2015.5.24,1003.6
202,坏蛋必须死,2015.11.27,2015.12.20,4705.4
203,将错就错,2015.3.5,2015.3.29,3937.4
204,爱情魔发师,2015.7.17,2015.8.2,20.3
205,闯入者,2015.4.30,2015.5.24,1003.6
206,既然青春留不住,2015.10.23,2015.11.22,5020.3
207,浪漫天降,2015.10.23,2015.11.8,785.2
208,爱情魔发师,2015.7.17,2015.8.2,20.3
209,最美的时候遇见你,2015.12.11,2015.12.27,156.2
210,浪漫天降,2015.10.23,2015.11.8,785.2
211,坏蛋必须死,2015.11.27,2015.12.20,4705.4
212,探灵档案,2015.3.7,2015.3.22,334.1
213,将错就错,2015.3.5,2015.3.29,3937.4
214,探灵档案,2015.3.7,2015.3.22,334.1
215,爱情魔发师,2015.7.17,2015.8.2,20.3
216,破风,2015.8.7,2015.9.13,14529.1
217,一念天堂,2015.12.31,2016.2.13,8279.5
218,探灵档案,2015.3.7,2015.3.22,334.1
219,万物生长,2015.4.17,2015.5.24,14831.8
220,最美的时候遇见你,2015.12.11,2015.12.27,156.2
221,既然青春留不住,2015.10.23,2015.11.22,5020.3
222,冲上云霄,2015.2.19,2015.3.29,15631.3
223,万物生长,2015.4.17,2015.5.24,14831.8
224,最美的时候遇见你,2015.12.11,2015.12.27,156.2
225,紫霞,2015.12.11,2015.12.27,49.1
226,万物生长,2015.4.17,2015.5.24,14831.8
227,失孤,2015.3.20,2015.5.3,21617.9
228,恶棍天使,2015.12.24,2016.2.13,64959.0
229,万物生长,2015.4.17,2015.5.24,14831.8
230,前任2：备胎反击战,2015.11.6,2015.12.20,25200.2
231,探灵档案,2015.3.7,2015.3.22,334.1
232,爱之初体验,2015.8.7,2015.8.23,321.7
233,最美的时候遇见你,2015.12.11,2015.12.27,156.2
234,既然青春留不住,2015.10.23,2015.11.22,5020.3
235,紫霞,2015.12.11,2015.12.27,49.1
236,破风,2015.8.7,2015.9.13,14529.1
237,恶棍天使,2015.12.24,2016.2.13,64959.0
238,浪漫天降,2015.10.23,2015.11.8,785.2
239,分手再说我爱你,2015.12.24,2016.1.17,1273.2
240,一念天堂,2015.12.31,2016.2.13,8279.5
241,既然青春留不住,2015.10.23,2015.11.22,5020.3
242,既然青春留不住,2015.10.23,2015.11.22,5020.3
243,万物生长,2015.4.17,2015.5.24,14831.8
244,爱之初体验,2015.8.7,2015.8.23,321.7
245,失孤,2015.3.20,2015.5.3,21617.9
246,冲上云霄,2015.2.19,2015.3.29,15631.3
247,破风,2015.8.7,2015.9.13,14529.1
248,将错就错,2015.3.5,2015.3.29,3937.4
249,分手再说我爱你,2015.12.24,2016.1.17,1273.2
250,破风,2015.8.7,2015.9.13,14529.1
251,怦然星动,2015.12.3,2016.1.10,15973.9
252,分手再说我爱你,2015.12.24,2016.1.17,1273.2
253,爱之初体验,2015.8.7,2015.8.23,321.7
254,紫霞,2015.12.11,2015.12.27,49.1
255,前任2：备胎反击战,2015.11.6,2015.12.20,25200.2
256,一念天堂,2015.12.31,2016.2.13,8279.5
257,将错就错,2015.3.5,2015.3.29,3937.4
258,少年班,2015.6.19,2015.7.19,5068.7
259,浪漫天降,2015.10.23,2015.11.8,785.2
260,将错就错,2015.3.5,2015.3.29,3937.4
261,坏蛋必须死,2015.11.27,2015.12.20,4705.4
